date,open,high,low,close,volume
2023-01-01,151.90306795118445,151.20656691688694,147.34113382506177,148.79115630178558,2831
2023-01-02,152.017978176427,151.36352167201116,149.60823583887407,145.81182221556202,2300
2023-01-03,151.5446218360683,149.96894632696907,150.9390570569224,145.71689105963716,7041
2023-01-04,151.85717784537724,151.0613153404168,153.82838800624378,145.28681615203627,1172
2023-01-05,152.8918307874235,150.92229833950242,157.5192785707588,145.59173677826197,9031
2023-01-06,156.96933752225254,149.09734225312485,152.7551273957249,146.40519180774712,3150
2023-01-07,158.1111935681674,149.52413381425876,150.037090258422,145.8121779243755,8300
2023-01-08,156.33392965354045,148.8474301493962,147.2650099176464,146.10397780589236,8976
2023-01-09,158.5682304358851,150.25014072669418,147.3737679919039,145.72162746306816,5856
2023-01-10,160.18868005358084,152.7140930196572,148.41520980800243,148.76160554354536,4039
2023-01-11,159.24009370157074,153.83802122019853,149.1301428063579,148.98298377823687,5326
2023-01-12,159.62176688860134,151.54030293660261,147.65868652998773,149.29344672763662,8580
2023-01-13,161.4511167748298,149.26416663450829,149.7612740741708,148.91130858865685,1664
2023-01-14,163.1705232268879,148.8580780719937,150.8392985721309,149.67015456400972,9705
2023-01-15,163.66056549064837,147.82744254400475,152.16255459422945,148.26928772512525,8964
2023-01-16,163.1397683175503,146.52927612656458,152.97100788514228,147.95237129034,2226
2023-01-17,164.66054310464727,144.85807985834404,153.54289014867848,147.37641159830224,2573
2023-01-18,164.92364428546765,146.22895060015676,155.77211849552936,147.7456319960564,3514
2023-01-19,166.14219189407996,146.6938165589831,154.6239908953774,147.76402716839084,4968
2023-01-20,169.8241711465003,146.038848521334,153.6840764325541,146.1865200081786,4252
2023-01-21,169.09898927073715,146.4941138563667,152.03887337840752,145.1702941475378,6830
2023-01-22,171.38524025307447,145.24738690236214,153.83890594273436,144.92315008783166,3678
2023-01-23,171.91418235784025,146.90787899242636,153.29564365126978,144.22163366099133,8738
2023-01-24,170.6341348821048,145.12748051973696,155.14850523134317,143.86089985609632,6796
2023-01-25,173.7992636699495,146.85107215363942,155.49809987842636,140.4150100118899,9201
2023-01-26,174.8676106680756,145.97367744557346,159.27847591737134,138.5230305707388,1627
2023-01-27,176.1283141644143,148.8221190558843,161.16673820027103,138.8027756795099,7099
2023-01-28,174.93276507065207,149.4238180870493,161.507845086787,137.75519551415846,5057
2023-01-29,177.7783850708782,151.38109643172743,161.5176547412949,136.45743149775274,3334
2023-01-30,180.3197850741448,152.7902705081098,163.77746890507836,135.2023810414781,2458
2023-01-31,184.48114034154065,152.52178920321597,164.4194604253164,134.2775363103074,8645
2023-02-01,185.70427964726613,155.5720119023461,164.69049315378555,134.97754905395797,8499
2023-02-02,184.40793785421056,155.5909301042956,165.8236245115924,134.47521968417098,7923
2023-02-03,183.9009119133037,155.84257430678025,165.8054036321224,134.7069561391711,7004
2023-02-04,184.65473292260384,158.8209353196321,165.56435579560292,133.7735457087384,2571
2023-02-05,184.70334961130612,159.0651974408369,165.34508538013222,134.05054368395918,2062
2023-02-06,185.15963935256488,161.46123394995834,166.32698131965896,131.87179424200585,8663
2023-02-07,186.8551158821378,161.60996057306997,166.75391245579806,131.8605000735862,9706
2023-02-08,183.4569174939344,162.7261422201255,164.30974282870696,132.54425697582064,4380
2023-02-09,182.36045131761148,161.77867140036295,166.79734245507368,132.1034564134397,9512
2023-02-10,180.95161149213502,164.58658972054465,161.9457119897808,134.45266797308489,8574
2023-02-11,182.4366751802111,162.30221176126636,162.83942493150096,135.50036420246133,5753
2023-02-12,183.6900244887798,160.92689682118757,165.55753293612898,134.73808883556575,1892
2023-02-13,185.48416933455454,160.8764656606847,167.0174777407053,135.06186373806437,5959
2023-02-14,184.44509673767965,160.8439554119593,169.5932294725845,133.27546398881097,5499
2023-02-15,186.84662531424416,157.74684008118115,165.713332550213,132.786230647899,9674
2023-02-16,183.43785008456567,156.34114362375485,163.88460267316037,133.3432820101653,6896
2023-02-17,179.99042604207472,157.88469264538222,165.48801963161188,133.97678092752625,7036
2023-02-18,178.62944131409162,159.3904413124211,167.54845955643094,134.61826374510798,1121
2023-02-19,176.2298706226895,161.06628368483646,167.51714060815902,132.62251579504897,9289
2023-02-20,177.2613534122066,160.72330679106352,163.61737317155612,131.9998896887579,2607
2023-02-21,177.67020876290465,159.08093979622234,163.340021529964,131.9642103708176,7433
2023-02-22,179.7430127083125,160.930540116817,164.83158939078132,131.9186603223004,5746
2023-02-23,180.24000478651524,157.28961231667367,163.78560203608743,130.16280594997386,1377
2023-02-24,179.22017565926686,156.62849230603268,164.84887278158044,130.311191129751,2301
2023-02-25,180.49428195753242,155.81430702386052,165.75219773651352,131.8120600539815,1810
2023-02-26,181.9251646575249,155.13724477404384,162.93980214181352,133.35736685650656,2782
2023-02-27,184.5510399370378,155.95430009170795,162.51524495735248,132.79762876508758,2220
2023-02-28,186.38556059285904,155.95342588659085,163.4713793069128,132.32289158006952,9201
2023-03-01,185.5256633294042,159.23681089468502,164.13215919999888,132.58355940830646,5832
2023-03-02,184.32960203989066,160.02779122570493,165.02623663031054,134.6399607968478,3449
2023-03-03,182.79754769472544,161.3837970001792,165.33786005039806,135.13430105483164,3131
2023-03-04,184.8493227353469,161.11199138283524,163.36668120090715,137.24386355916502,1779
2023-03-05,185.94806394410622,159.35618706927505,164.01398026730752,136.4820632736632,9903
2023-03-06,189.06924069373017,160.56344762411535,164.5034621625635,134.9529661560554,9367
2023-03-07,187.9801902260348,161.9383080970887,165.7520690518889,138.69953941086465,6362
2023-03-08,191.52103044638415,163.0736284533854,165.1841913573456,136.9300818871438,9168
2023-03-09,191.74510665768148,164.55884669959494,163.61654383410752,137.3429501101344,2797
2023-03-10,190.60400385797803,163.69409647456214,164.53294551085605,137.05143471480176,7204
2023-03-11,189.65565396174227,163.34356688342075,166.3544860821136,139.2309414935119,9258
2023-03-12,190.10969824509374,160.9808922750106,167.5630099927886,141.37529571655188,7960
2023-03-13,189.0230954225614,159.57918246413573,165.45674139699602,143.2288178870629,6114
2023-03-14,191.8031185858022,161.35216592800577,168.57266605464204,143.52889238036286,7838
2023-03-15,195.12678157354557,160.11688573353737,169.05681249164115,143.22481419890065,1293
2023-03-16,194.2436519464348,161.1143771260668,168.68516131753063,142.38400332913767,7841
2023-03-17,197.23802377740859,160.1572824663934,168.8872789983925,141.72051547609755,2172
2023-03-18,197.9047076283554,161.40912195129857,170.12174288657383,140.863331611961,5923
2023-03-19,196.41980140895342,161.61670997116948,169.55806948568045,140.069734347703,4970
2023-03-20,196.5680235207433,163.97143097520836,171.878228341918,143.37036461381197,3674
2023-03-21,196.6553083711377,163.64463570132315,166.87292911094605,141.45573790402588,3472
2023-03-22,195.00273116642614,165.30658856490655,166.59929009685354,140.83690631953246,1882
2023-03-23,195.06294401820716,166.03794723167775,162.52079625671934,141.17197522713934,1858
2023-03-24,194.1969192190379,165.47087494309707,162.28938872610271,141.37850394462683,3661
2023-03-25,196.34106403682955,165.74804787184783,163.56969473567773,142.1953840099381,6073
2023-03-26,196.88582772677054,164.93327794265562,161.02292956272095,141.37534458677925,3729
